fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"1",F,F,"0030690000","1","1992","9566.0","62.0","702.0","0","200","1.0",De esquina,"123,13",Não,Não,Não,Não,Não,Sim,Residencial
"2",F,F,"0030440035","1","0","400.0","0.0","0.0","0","0","0.0",Normal,"7,95",Não,Não,Não,Não,Não,Sim,Terreno
"3",F,F,"0030370028","1","1962","103.0","220.0","103.0","21","20","0.0",Normal,"5,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"5",F,F,"0030410096","1","1939","68.0","50.0","50.0","7","10","0.0",Normal,"4,75",Não,Não,Não,Não,Não,Sim,Residencial
"6",F,F,"0030120002","1","1944","206.0","161.0","161.0","8","10","0.0",Normal,"4,75",Não,Não,Não,Não,Não,Sim,Uso Misto
"7",F,F,"0030120000","2","1979","253.0","168.0","253.0","20","90","1.0",De esquina,"16,00",Não,Não,Não,Não,Não,Não,Não Residencial
"8",F,F,"0030130036","1","1964","81.0","100.0","50.0","12","20","0.0",Normal,"5,20",Não,Não,Não,Não,Não,Sim,Residencial
"10",F,F,"0030110017","1","1970","372.0","372.0","372.0","10","10","0.0",Normal,"6,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"11",F,F,"0030640006","1","1964","417.0","385.0","385.0","9","10","0.0",Normal,"14,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"12",F,F,"0030640031","1","1976","354.0","879.0","293.0","25","30","0.0",Normal,"12,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"13",F,F,"0030640019","1","1973","177.0","200.0","100.0","11","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"14",F,F,"0030100027","1","1947","1845.0","2215.0","1845.0","12","20","2.0",De duas ou mais,"40,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"15",F,F,"0030190117","1","1943","100.0","100.0","100.0","10","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"16",F,F,"0030620032","1","1944","111.0","111.0","111.0","10","10","0.0",Normal,"4,62",Não,Não,Não,Não,Não,Sim,Residencial
"17",F,F,"0030600021","1","1981","195.0","608.0","195.0","31","40","1.0",De esquina,"34,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"19",F,F,"0030140175","1","1964","150.0","244.0","120.0","16","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Residencial
"21",F,F,"0030120017","1","1970","100.0","100.0","50.0","10","20","1.0",De esquina,"10,25",Não,Não,Não,Não,Não,Sim,Uso Misto
"22",F,F,"0030120018","1","1970","207.0","250.0","125.0","12","20","0.0",Normal,"20,70",Não,Não,Não,Não,Não,Sim,Residencial
"23",F,F,"0030110050","1","1970","58.0","150.0","50.0","26","30","0.0",Normal,"8,85",Não,Não,Não,Não,Não,Sim,Uso Misto
"24",F,F,"0030110051","1","1970","50.0","180.0","40.0","36","20","1.0",De esquina,"10,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"26",F,F,"0030410127","1","1934","52.0","50.0","50.0","10","10","0.0",Terreno interno,"4,00",Não,Não,Não,Não,Não,Sim,Residencial
"27",F,F,"0030270020","1","1959","66.0","63.0","63.0","10","10","0.0",Terreno interno,"3,00",Não,Não,Não,Não,Não,Sim,Residencial
"28",F,F,"0030410027","1","1986","109.0","311.0","80.0","29","30","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"29",F,F,"0030410179","1","1949","707.0","947.0","707.0","13","20","0.0",Normal,"11,40",Não,Não,Não,Não,Não,Sim,Uso Misto
"31",F,F,"0030410131","1","1954","72.0","60.0","60.0","8","10","0.0",Terreno interno,"4,00",Não,Não,Não,Não,Não,Sim,Residencial
"32",F,F,"0030130044","1","1964","65.0","80.0","50.0","12","20","0.0",Normal,"5,15",Não,Não,Não,Não,Não,Sim,Residencial
"33",F,F,"0030210040","1","1959","195.0","150.0","75.0","8","20","0.0",Normal,"6,50",Não,Não,Não,Não,Não,Sim,Uso Misto
"35",F,F,"0030110152","1","1976","719.0","701.0","701.0","10","10","2.0",De duas ou mais,"34,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"36",F,F,"0030460033","1","1977","98.0","156.0","78.0","16","20","0.0",Normal,"4,90",Não,Sim,Não,Não,Não,Sim,Não Residencial
"37",F,F,"0030220001","1","1966","64.0","75.0","50.0","12","20","0.0",Normal,"8,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"38",F,F,"0030410210","1","1939","86.0","60.0","60.0","7","10","0.0",Terreno interno,"5,70",Não,Não,Não,Não,Não,Sim,Residencial
"39",F,F,"0030410209","1","1934","82.0","100.0","50.0","12","20","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"40",F,F,"0030130052","1","1970","61.0","100.0","50.0","16","20","0.0",Normal,"5,05",Não,Não,Não,Não,Não,Sim,Residencial
"41",F,F,"0030440111","1","1955","304.0","400.0","304.0","13","20","0.0",Normal,"5,75",Não,Não,Não,Não,Não,Sim,Uso Misto
"42",F,F,"0030130135","1","1973","250.0","200.0","200.0","8","10","0.0",Normal,"4,80",Não,Não,Não,Não,Não,Sim,Uso Misto
"43",F,F,"0030130134","1","1929","250.0","230.0","230.0","9","10","0.0",Normal,"4,95",Não,Não,Não,Não,Não,Sim,Residencial
"44",F,F,"0030190228","1","1934","508.0","600.0","508.0","12","20","0.0",Normal,"10,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"46",F,F,"0030200050","1","1939","161.0","130.0","65.0","8","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"47",F,F,"0030110165","1","0","1053.0","0.0","0.0","0","0","2.0",De duas ou mais,"33,40",Não,Não,Não,Não,Não,Sim,Terreno
"48",F,F,"0030160058","1","1990","1448.0","403.0","403.0","3","10","0.0",Lote encravado,"0,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"49",F,F,"0030200116","1","1966","992.0","1099.0","992.0","11","20","0.0",Normal,"11,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"50",F,F,"0030600105","1","1974","5788.0","5982.0","5788.0","10","20","2.0",De duas ou mais,"150,36",Não,Não,Em processo,Não,Não,Sim,Não Residencial
"53",F,F,"0030210006","1","1960","105.0","120.0","80.0","11","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"55",F,F,"0030280005","1","1919","202.0","250.0","125.0","12","20","0.0",Normal,"6,40",Não,Não,Não,Não,Não,Sim,Uso Misto
"56",F,F,"0030210009","1","1949","226.0","250.0","125.0","11","20","0.0",Normal,"8,10",Não,Não,Não,Não,Não,Sim,Residencial
"57",F,F,"0030210025","1","1939","150.0","130.0","120.0","9","10","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"58",F,F,"0030210008","1","1959","122.0","268.0","120.0","22","30","0.0",Normal,"6,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"59",F,F,"0030270004","1","1970","96.0","285.0","50.0","30","40","0.0",Normal,"3,80",Não,Não,Não,Não,Não,Sim,Uso Misto
"61",F,F,"0030270005","1","1959","76.0","60.0","60.0","8","10","0.0",Normal,"4,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"62",F,F,"0030130126","1","1986","528.0","652.0","528.0","12","20","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"64",F,F,"0030190111","1","1954","91.0","70.0","70.0","8","10","0.0",Normal,"5,55",Não,Não,Não,Não,Não,Sim,Não Residencial
"65",F,F,"0030620037","1","1983","118.0","118.0","118.0","10","10","0.0",Normal,"25,63",Não,Não,Não,Não,Sim,Sim,Residencial
"66",F,F,"0030640013","1","0","200.0","0.0","0.0","0","0","1.0",De esquina,"41,15",Não,Não,Não,Não,Sim,Sim,Terreno
"67",F,F,"0030280053","1","1949","47.0","60.0","40.0","13","20","0.0",Normal,"4,43",Não,Não,Não,Não,Não,Sim,Residencial
"69",F,F,"0030410002","1","1959","210.0","200.0","100.0","10","20","0.0",Normal,"7,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"70",F,F,"0030130136","1","1973","250.0","280.0","140.0","11","20","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"71",F,F,"0030410030","1","1959","101.0","82.0","82.0","8","10","0.0",Normal,"5,05",Não,Não,Não,Não,Não,Sim,Residencial
"72",F,F,"0030220017","1","1985","450.0","450.0","255.0","10","20","0.0",Normal,"15,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"73",F,F,"0030280129","1","0","2067.0","0.0","0.0","0","0","1.0",De esquina,"71,10",Não,Não,Não,Não,Não,Sim,Terreno
"74",F,F,"0030140479","1","1991","310.0","305.0","305.0","10","10","1.0",De esquina,"11,80",Não,Não,Não,Não,Não,Sim,Não Residencial
"75",F,F,"0030140183","1","1964","75.0","111.0","75.0","15","20","0.0",Normal,"4,20",Não,Não,Não,Não,Não,Sim,Residencial
"77",F,F,"0030160053","1","1974","1918.0","2225.0","1886.0","12","20","0.0",Normal,"26,25",Não,Não,Não,Não,Não,Sim,Não Residencial
"78",F,F,"0030270052","1","1972","761.0","3942.0","475.0","52","90","0.0",Normal,"27,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"80",F,F,"0030140005","1","1959","165.0","300.0","150.0","18","20","0.0",Normal,"6,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"81",F,F,"0030140155","1","1954","74.0","134.0","59.0","18","20","0.0",Normal,"5,77",Não,Não,Não,Não,Não,Sim,Uso Misto
"82",F,F,"0250840016","1","1959","51.0","100.0","40.0","20","20","0.0",Normal,"6,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"83",F,F,"0030140124","1","1967","59.0","99.0","43.0","17","20","0.0",Normal,"4,40",Não,Não,Não,Não,Não,Sim,Residencial
"84",F,F,"0030110089","1","1919","80.0","70.0","70.0","9","10","0.0",Normal,"4,00",Não,Não,Não,Não,Não,Sim,Residencial
"85",F,F,"0030560000","1","1971","208.0","77.0","208.0","7","40","2.0",De duas ou mais,"15,35",Não,Não,Não,Não,Não,Sim,Uso Misto
"86",F,F,"0030670218","1","1919","280.0","150.0","150.0","5","10","0.0",Normal,"7,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"87",F,F,"0030120077","1","1988","289.0","236.0","118.0","8","20","0.0",Normal,"11,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"88",F,F,"0030120008","1","1961","175.0","260.0","160.0","15","20","0.0",Normal,"7,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"90",F,F,"0030270006","1","1959","64.0","32.0","32.0","5","10","0.0",Normal,"3,40",Não,Não,Não,Não,Não,Sim,Não Residencial
"91",F,F,"0030110103","1","1919","93.0","93.0","93.0","10","10","0.0",Normal,"4,60",Não,Não,Não,Não,Não,Sim,Residencial
"92",F,F,"0030150036","1","1970","940.0","940.0","940.0","10","10","1.0",De esquina,"20,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"93",F,F,"0030190005","1","1939","166.0","183.0","132.0","11","10","1.0",De esquina,"10,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"94",F,F,"0030190004","1","1944","100.0","106.0","80.0","11","10","0.0",Normal,"10,35",Não,Não,Não,Não,Não,Sim,Residencial
"95",F,F,"0030150044","1","1961","180.0","150.0","90.0","8","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Residencial
"96",F,F,"0030270057","1","1976","224.0","461.0","224.0","21","20","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"97",F,F,"0030220034","1","1988","360.0","595.0","309.0","17","20","1.0",De esquina,"10,80",Não,Não,Não,Não,Não,Sim,Não Residencial
"98",F,F,"0030220073","1","1950","561.0","234.0","234.0","4","10","0.0",Normal,"18,75",Não,Não,Não,Não,Não,Sim,Não Residencial
"100",F,F,"0250840008","1","1949","222.0","400.0","200.0","18","10","0.0",Normal,"12,25",Não,Não,Não,Não,Não,Sim,Não Residencial
"101",F,F,"0030270075","1","1989","271.0","271.0","271.0","10","10","1.0",De esquina,"12,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"102",F,F,"0030210000","1","1949","177.0","119.0","100.0","7","20","0.0",Normal,"5,90",Não,Não,Não,Não,Não,Sim,Residencial
"103",F,F,"0030110153","1","1974","646.0","379.0","184.0","6","20","0.0",Normal,"25,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"104",F,F,"0030190104","1","1954","267.0","170.0","170.0","6","10","0.0",Normal,"4,95",Não,Não,Não,Não,Não,Sim,Uso Misto
"105",F,F,"0020490009","1","1939","114.0","110.0","55.0","10","20","0.0",Normal,"4,38",Não,Não,Não,Não,Não,Sim,Residencial
"106",F,F,"0020830017","1","1919","115.0","100.0","100.0","9","10","0.0",Normal,"5,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"107",F,F,"0020410033","1","1979","168.0","300.0","160.0","18","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"108",F,F,"0020790015","1","1966","101.0","140.0","70.0","14","20","0.0",Normal,"5,92",Não,Não,Não,Não,Não,Sim,Residencial
"109",F,F,"0020370025","1","1970","160.0","190.0","100.0","12","20","0.0",Normal,"11,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"110",F,F,"0020810035","1","1919","65.0","60.0","60.0","9","10","0.0",Terreno interno,"7,00",Não,Não,Não,Não,Não,Sim,Residencial
"111",F,F,"0020290010","1","1932","240.0","450.0","225.0","19","20","0.0",Normal,"6,65",Não,Não,Não,Não,Não,Sim,Uso Misto
"112",F,F,"0020860047","1","1949","64.0","60.0","60.0","9","10","0.0",Normal,"4,30",Não,Não,Não,Não,Não,Sim,Não Residencial
"113",F,F,"0020570079","1","1959","103.0","90.0","45.0","9","20","0.0",Terreno interno,"6,10",Não,Não,Não,Não,Não,Sim,Residencial
"114",F,F,"0020370004","1","1944","85.0","85.0","85.0","10","10","0.0",Normal,"4,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"115",F,F,"0020390100","1","1970","652.0","587.0","587.0","9","10","0.0",Normal,"16,30",Não,Não,Não,Não,Não,Sim,Não Residencial
"116",F,F,"0020370005","1","1970","80.0","80.0","80.0","10","10","0.0",Normal,"4,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"117",F,F,"0020810066","1","1955","1985.0","8598.0","1741.0","43","50","0.0",Normal,"39,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"118",F,F,"0020490018","1","1939","85.0","130.0","65.0","15","20","0.0",Normal,"4,50",Não,Não,Não,Não,Não,Sim,Residencial
"119",F,F,"0020810000","2","1970","270.0","153.0","209.0","11","40","0.0",Normal,"9,00",Não,Não,Não,Não,Não,Não,Uso Misto
"120",F,F,"0020810000","2","1970","270.0","153.0","209.0","11","40","0.0",Normal,"9,00",Não,Não,Não,Não,Não,Não,Uso Misto
"121",F,F,"0020430053","1","1934","195.0","130.0","130.0","7","10","0.0",Normal,"6,50",Não,Não,Não,Não,Não,Sim,Residencial
"122",F,F,"0020860023","1","1929","114.0","18.0","18.0","2","10","0.0",Lote de fundos,"0,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"123",F,F,"0020560018","1","1970","120.0","215.0","120.0","18","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"126",F,F,"0020560017","1","1970","120.0","215.0","120.0","18","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"127",F,F,"0020420051","1","1974","839.0","892.0","839.0","11","20","0.0",Normal,"27,30",Não,Não,Não,Não,Não,Sim,Não Residencial
"128",F,F,"0020530068","1","1943","83.0","83.0","83.0","10","10","0.0",Normal,"7,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"129",F,F,"0020800084","1","1919","129.0","120.0","120.0","9","10","0.0",Normal,"4,30",Não,Não,Não,Não,Não,Sim,Não Residencial
"130",F,F,"0020580006","1","1954","272.0","450.0","225.0","17","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"131",F,F,"0020760027","1","1961","96.0","96.0","96.0","10","10","0.0",Normal,"4,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"132",F,F,"0030460000","2","1972","1814.0","539.0","1814.0","6","20","1.0",De esquina,"29,99",Não,Não,Não,Não,Não,Não,Não Residencial
"133",F,F,"0020370023","1","1944","214.0","200.0","200.0","9","10","0.0",Normal,"12,74",Não,Não,Não,Não,Não,Sim,Não Residencial
"134",F,F,"0020450028","1","1953","321.0","459.0","230.0","14","20","0.0",Normal,"5,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"135",F,F,"0020370022","1","1944","311.0","350.0","310.0","11","10","0.0",Normal,"16,74",Não,Não,Não,Não,Não,Sim,Não Residencial
"136",F,F,"0020450061","1","1970","172.0","160.0","160.0","9","10","0.0",Normal,"6,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"137",F,F,"0020790023","1","1939","93.0","80.0","80.0","9","10","0.0",Normal,"7,22",Não,Não,Sim,Não,Não,Sim,Residencial
"138",F,F,"0020480050","1","1939","1552.0","1552.0","1552.0","10","10","0.0",Normal,"11,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"139",F,F,"0020810027","1","1934","96.0","90.0","90.0","9","10","0.0",Normal,"4,85",Não,Não,Não,Não,Não,Sim,Não Residencial
"140",F,F,"0020570064","1","1944","71.0","88.0","50.0","12","20","0.0",Terreno interno,"5,10",Não,Não,Não,Não,Não,Sim,Residencial
"141",F,F,"0020860020","1","1929","220.0","150.0","150.0","7","10","0.0",Normal,"5,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"142",F,F,"0020580065","1","1980","2164.0","5141.0","1200.0","24","50","2.0",De duas ou mais,"38,25",Não,Não,Não,Não,Não,Sim,Não Residencial
"143",F,F,"0020390058","1","1939","225.0","100.0","100.0","4","10","0.0",Normal,"4,50",Não,Não,Não,Não,Não,Sim,Residencial
"145",F,F,"0020760037","1","1928","145.0","200.0","100.0","14","20","0.0",Normal,"4,60",Não,Não,Não,Não,Não,Sim,Uso Misto
"146",F,F,"0020390256","1","1972","204.0","217.0","204.0","11","10","0.0",Normal,"9,25",Não,Não,Não,Não,Não,Sim,Não Residencial
"147",F,F,"0020550053","1","1980","210.0","226.0","196.0","11","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"148",F,F,"0020550069","1","1971","1273.0","1377.0","1273.0","11","20","0.0",Normal,"4,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"149",F,F,"0020390255","1","1972","204.0","217.0","204.0","11","10","0.0",Normal,"9,25",Não,Não,Não,Não,Não,Sim,Não Residencial
"150",F,F,"0020800001","1","1939","184.0","280.0","155.0","15","20","1.0",De esquina,"8,70",Não,Não,Não,Não,Não,Sim,Residencial
"151",F,F,"0020380050","1","1964","330.0","900.0","300.0","27","30","0.0",Normal,"11,10",Não,Não,Não,Não,Não,Sim,Uso Misto
"152",F,F,"0020780013","1","1964","113.0","180.0","113.0","16","20","0.0",Normal,"7,20",Não,Não,Sim,Não,Não,Sim,Não Residencial
"153",F,F,"0020760046","1","1964","538.0","3000.0","500.0","56","80","0.0",Normal,"10,75",Não,Não,Não,Não,Não,Sim,Uso Misto
"154",F,F,"0020450070","1","1970","260.0","275.0","258.0","11","20","0.0",Normal,"10,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"155",F,F,"0020800075","1","1919","75.0","60.0","60.0","8","10","0.0",Terreno interno,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"156",F,F,"0030590016","1","1970","66.0","130.0","52.0","20","20","0.0",Normal,"5,70",Não,Não,Não,Não,Não,Sim,Uso Misto
"157",F,F,"0030190163","1","1939","205.0","164.0","164.0","8","10","0.0",Normal,"5,40",Não,Não,Não,Não,Não,Sim,Uso Misto
"158",F,F,"0030640007","1","1919","177.0","90.0","90.0","5","10","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Residencial
"160",F,F,"0030120023","1","1970","145.0","125.0","116.0","9","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"161",F,F,"0030140012","1","1919","209.0","250.0","125.0","12","20","0.0",Normal,"7,20",Não,Não,Não,Não,Não,Sim,Uso Misto
"163",F,F,"0030220016","1","1954","192.0","268.0","134.0","14","20","0.0",Normal,"6,30",Não,Não,Não,Não,Não,Sim,Uso Misto
"165",F,F,"0030620045","1","1944","159.0","95.0","95.0","6","10","0.0",Normal,"5,30",Não,Não,Não,Não,Não,Sim,Residencial
"166",F,F,"0030410133","1","1951","211.0","422.0","211.0","20","20","0.0",Normal,"5,20",Não,Não,Não,Não,Não,Sim,Uso Misto
"167",F,F,"0030190171","1","1954","300.0","240.0","240.0","8","10","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"168",F,F,"0030590034","1","1963","135.0","132.0","108.0","10","10","2.0",De duas ou mais,"9,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"169",F,F,"0030410123","1","1919","160.0","183.0","91.0","11","20","0.0",Normal,"8,30",Não,Não,Não,Não,Não,Sim,Uso Misto
"170",F,F,"0030410122","1","1944","124.0","215.0","103.0","17","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"171",F,F,"0030670239","1","1954","176.0","200.0","100.0","11","20","0.0",Normal,"5,35",Não,Não,Não,Não,Não,Sim,Não Residencial
"172",F,F,"0030160067","1","1973","471.0","465.0","415.0","10","20","0.0",Normal,"13,80",Não,Não,Não,Não,Não,Sim,Não Residencial
"173",F,F,"0030670243","1","1952","521.0","1307.0","320.0","25","40","0.0",Normal,"15,06",Não,Não,Não,Não,Não,Sim,Não Residencial
"174",F,F,"0020490013","1","1939","114.0","110.0","55.0","10","20","0.0",Normal,"4,55",Não,Não,Não,Não,Não,Sim,Residencial
"175",F,F,"0020490042","1","1962","98.0","110.0","98.0","11","10","0.0",Normal,"3,25",Não,Não,Não,Não,Não,Sim,Residencial
"176",F,F,"0020170036","1","1974","897.0","897.0","897.0","10","10","0.0",Normal,"30,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"177",F,F,"0020830045","1","1949","114.0","200.0","100.0","18","20","0.0",Normal,"5,20",Não,Não,Não,Não,Não,Sim,Uso Misto
"178",F,F,"0020170040","1","1949","166.0","166.0","166.0","10","10","0.0",Normal,"6,50",Não,Não,Não,Não,Não,Sim,Não Residencial
"179",F,F,"0020770012","1","1950","139.0","120.0","120.0","9","10","0.0",Normal,"4,65",Não,Não,Não,Não,Não,Sim,Não Residencial
"180",F,F,"0020580022","1","1959","478.0","700.0","430.0","15","30","0.0",Normal,"11,40",Sim,Não,Não,Não,Não,Sim,Não Residencial
"181",F,F,"0020890035","1","1954","127.0","100.0","100.0","8","10","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"182",F,F,"0020830023","1","1930","120.0","206.0","90.0","17","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"183",F,F,"0020550047","1","1939","80.0","100.0","70.0","13","20","0.0",Normal,"4,35",Não,Não,Não,Não,Não,Sim,Uso Misto
"184",F,F,"0020490038","1","0","225.0","0.0","0.0","0","0","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Terreno
"185",F,F,"0020830022","1","1973","111.0","105.0","105.0","9","10","0.0",Normal,"4,95",Não,Não,Não,Não,Não,Sim,Não Residencial
"186",F,F,"0020430061","1","1939","125.0","75.0","75.0","6","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"187",F,F,"0020550003","1","1970","261.0","261.0","261.0","10","10","0.0",Normal,"5,70",Não,Não,Não,Não,Não,Sim,Não Residencial
"188",F,F,"0020830043","1","1970","140.0","100.0","100.0","7","10","0.0",Normal,"6,40",Não,Não,Não,Não,Não,Sim,Não Residencial
"189",F,F,"0020800089","1","1952","297.0","300.0","150.0","10","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"190",F,F,"0020830041","1","1967","147.0","142.0","142.0","10","10","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"191",F,F,"0020830042","1","1929","98.0","70.0","70.0","7","10","0.0",Normal,"4,55",Não,Não,Não,Não,Não,Sim,Uso Misto
"192",F,F,"0020470049","1","1979","647.0","594.0","451.0","9","20","0.0",Normal,"16,85",Não,Não,Não,Não,Não,Sim,Não Residencial
"193",F,F,"0020550027","1","1939","55.0","100.0","50.0","18","20","0.0",Normal,"4,70",Não,Não,Não,Não,Não,Sim,Residencial
"194",F,F,"0020810021","1","1970","398.0","300.0","300.0","8","10","0.0",Normal,"7,65",Não,Não,Não,Não,Não,Sim,Não Residencial
"196",F,F,"0020380003","1","1968","103.0","387.0","100.0","38","40","0.0",Normal,"9,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"197",F,F,"0020530000","1","1957","500.0","307.0","500.0","12","30","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"198",F,F,"0020370007","1","1934","258.0","230.0","230.0","9","10","0.0",Normal,"9,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"199",F,F,"0020380004","1","1970","80.0","80.0","80.0","10","10","0.0",Normal,"6,70",Não,Não,Não,Não,Não,Sim,Não Residencial
"200",F,F,"0020790032","1","1939","96.0","80.0","80.0","8","10","0.0",Normal,"7,45",Não,Não,Sim,Não,Não,Sim,Residencial
"201",F,F,"0020370026","1","1970","168.0","348.0","130.0","21","40","0.0",Normal,"11,40",Não,Não,Não,Não,Não,Sim,Uso Misto
"202",F,F,"0020430063","1","1929","180.0","280.0","150.0","16","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"203",F,F,"0020810063","1","1959","288.0","750.0","270.0","26","30","0.0",Normal,"8,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"204",F,F,"0020170035","1","1974","654.0","880.0","654.0","13","20","0.0",Normal,"20,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"205",F,F,"0020430017","1","1944","256.0","190.0","100.0","7","20","0.0",Normal,"6,40",Não,Não,Não,Não,Não,Sim,Residencial
"206",F,F,"0020530006","1","1970","256.0","524.0","256.0","20","20","0.0",Normal,"7,60",Não,Não,Não,Não,Não,Sim,Uso Misto
"207",F,F,"0020530005","1","1970","256.0","525.0","256.0","21","20","0.0",Normal,"7,60",Não,Não,Não,Não,Não,Sim,Uso Misto
"208",F,F,"0020810050","1","1947","330.0","250.0","125.0","8","20","0.0",Normal,"6,75",Não,Não,Não,Não,Não,Sim,Não Residencial
"209",F,F,"0020810068","1","1977","877.0","852.0","852.0","10","10","0.0",Normal,"14,95",Não,Não,Não,Não,Não,Sim,Não Residencial
"210",F,F,"0020490017","1","1939","84.0","130.0","65.0","15","20","0.0",Normal,"4,20",Não,Não,Não,Não,Não,Sim,Residencial
"211",F,F,"0020550024","1","1939","55.0","100.0","50.0","18","20","0.0",Normal,"4,70",Não,Não,Não,Não,Não,Sim,Uso Misto
"212",F,F,"0020490034","1","1977","320.0","346.0","278.0","11","10","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"213",F,F,"0020490015","1","1939","114.0","110.0","55.0","10","20","0.0",Normal,"4,62",Não,Não,Não,Não,Não,Sim,Residencial
