fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"5193",F,F,"0020390040","1","1947","176.0","218.0","150.0","12","20","0.0",Normal,"4,45",Não,Não,Não,Não,Não,Sim,Uso Misto
"5194",F,F,"0020290009","1","1934","240.0","450.0","225.0","19","20","0.0",Normal,"6,65",Não,Não,Não,Não,Não,Sim,Uso Misto
"5195",F,F,"0020480006","1","1939","290.0","250.0","250.0","9","10","0.0",Normal,"9,05",Não,Não,Não,Não,Não,Sim,Não Residencial
"5196",F,F,"0080090033","1","1978","108.0","216.0","108.0","20","20","0.0",Normal,"4,50",Não,Não,Não,Não,Não,Sim,Uso Misto
"5197",F,F,"0020480010","1","1939","107.0","120.0","60.0","11","20","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Residencial
"5198",F,F,"0080370009","1","1951","316.0","242.0","120.0","8","20","0.0",Normal,"7,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"5199",F,F,"0020290012","1","1944","132.0","130.0","130.0","10","10","0.0",Normal,"5,05",Não,Não,Não,Não,Não,Sim,Não Residencial
"5200",F,F,"0020480007","1","1939","320.0","300.0","300.0","9","10","0.0",Normal,"8,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"5201",F,F,"0020390088","1","1959","342.0","300.0","300.0","9","10","0.0",Normal,"8,55",Não,Não,Não,Não,Não,Sim,Não Residencial
"5202",F,F,"0020840011","1","1986","175.0","315.0","158.0","18","20","0.0",Normal,"5,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"5203",F,F,"0020370021","1","1970","250.0","170.0","170.0","7","10","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5204",F,F,"0020390082","1","1970","190.0","174.0","174.0","9","10","0.0",Normal,"6,85",Não,Não,Não,Não,Não,Sim,Não Residencial
"5205",F,F,"0020390093","1","1955","288.0","400.0","200.0","14","20","0.0",Normal,"12,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5206",F,F,"0020570075","1","1949","80.0","88.0","50.0","11","20","0.0",Terreno interno,"5,15",Não,Não,Não,Não,Não,Sim,Residencial
"5207",F,F,"0030110071","1","1944","150.0","280.0","120.0","19","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"5208",F,F,"0080250002","1","1939","215.0","180.0","100.0","8","20","0.0",Normal,"7,70",Não,Não,Sim,Não,Não,Sim,Residencial
"5209",F,F,"0020890052","1","1955","98.0","98.0","98.0","10","10","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5210",F,F,"0020890037","1","1959","120.0","100.0","100.0","8","10","0.0",Normal,"4,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"5211",F,F,"0020820001","1","1949","360.0","960.0","350.0","27","30","1.0",De esquina,"33,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"5212",F,F,"0020380020","1","1964","188.0","180.0","180.0","10","10","0.0",Normal,"5,90",Não,Não,Não,Não,Não,Sim,Não Residencial
"5213",F,F,"0020390084","1","1970","73.0","70.0","70.0","10","10","0.0",Normal,"3,65",Não,Não,Não,Não,Não,Sim,Não Residencial
